Name,Type,Category,Price,Location,County,No. of Bedrooms,No. of Bathrooms,No. of Ensuite Bedrooms,Date,Floor_area_sqm,Land_Size,Elevator,Parking,Condition,DSQ,Floor_Number,URL
1 Bed Apartment in Lavington,Residential,Apartment,"KSh 4,000,000",Lavington,Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4009448
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,000,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4010017
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,500,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4010016
Serviced 5 Bed Townhouse in Lavington,Residential,Townhouse,"KSh 90,000,000",Lavington,Nairobi,5,6,1,2026-06-15,,,0,1,,1,,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-4009987
1 Bed Apartment at Mpaka Road,Residential,Apartment,"KSh 9,000,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,68,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4009989
2 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 7,000,000","Westlands Area, Westlands",Nairobi,2,2,1,2026-06-15,71,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4009999
2 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 7,500,000","Westlands Area, Westlands",Nairobi,2,2,1,2026-06-15,64,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4009997
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,000,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4009993
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,500,000","Westlands Area, Westlands",Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4009991
Land in Diani,Land,Land,"KSh 45,000,000",Diani,Kwale,220,,,2026-06-15,,7 acres,0,1,,0,,https://www.buyrentkenya.com/listings/land-for-sale-diani-4009990
2 Bed Apartment at Riverside Drive,Residential,Apartment,"KSh 14,800,000","Riverside, Westlands",Nairobi,2,2,1,2026-06-15,98,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-riverside-4009971
2 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 7,000,000","Westlands Area, Westlands",Nairobi,2,2,1,2026-06-15,64,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4009965
